paragraphId,chapterTitle,subChapterTitle,content,,dataType
1,Objective,,"The objective of this Standard is to specify Disclosure Requirements which will enable users of the sustainability statement to understand:\n (a) how the undertaking affects water and marine resources, in terms of material positive and negative actual or potential impacts;\n (b) any actions taken, and the result of such actions to prevent or mitigate material actual or potential negative impacts, to protect water and marine resources, also with reference to reduction of water consumption, and to address risks and opportunities;\n (c) whether, how and to what extent the undertaking contributes to the European Green Deal’s ambitions for fresh air, clean water, healthy soil and biodiversity, as well as to the sustainability of the blue economy and fisheries sectors, taking account of the following: Directive 2000/60/EC of the European Parliament and of the Council1 (EU Water Framework Directive), Directive 2008/56/EC of the European Parliament and of the Council2 (EU Marine Strategy Framework Directive), Directive 2014/89/EU of the European Parliament and of the Council3 (EU Maritime Spatial Planning Directive), the Sustainable Development Goals (in particular SDG 6 Clean water and sanitation and 14 Life below water), and respect of global environmental limits (e.g. biosphere integrity, ocean acidification, freshwater use, and biogeochemical flows planetary boundaries);\n (d) the plans and capacity of the undertaking to adapt its strategy and business model in line with the promotion of sustainable water use based on long-term protection of available water resources; protection of aquatic ecosystems and restoration of freshwater and marine habitats;\n (e) the nature, type and extent of the undertaking’s material risks and opportunities arising from the undertaking’s impacts and dependencies on water and marine resources, and how the undertaking manages them; and\n (f) the financial effects on the undertaking over the short-, medium- and long-term of material risks and opportunities arising from the undertaking’s impacts and dependencies on water and marine resources.",,
2,Objective,,"This Standard sets out Disclosure Requirements related to water and marine resources. With regard to “water”, this standard covers surface water and groundwater. It includes disclosure requirements on water consumption in the undertaking’s activities, products and services, as well as related information on water withdrawals and water discharges.",,
3,Objective,,"With regard to “marine resources”, this standard covers the extraction and use of such resources, and associated economic activities",,
4,Interaction with other ESRS ,,"The topic of water and marine resources is closely connected to other environmental subtopics such as climate change, pollution, biodiversity and circular economy. Thus, to provide a comprehensive overview of what could be material to water and marine resources, relevant Disclosure Requirements are covered in other environmental ESRS as follows:\n (a) ESRS E1 Climate change, which addresses, in particular, acute and chronic physical risks which arise from water and ocean-related hazards caused or exacerbated by climate change, including increasing water temperature, changing precipitation patterns and types (rain, hail, snow/ice), precipitation or hydrological variability, ocean acidification, saline intrusion, sea level rise, drought, high water stress, heavy precipitation, flood and glacial lake outbursts;\n (b) ESRS E2 Pollution, which addresses, in particular, the emissions to water, which includes emissions to oceans, and the use and generation of microplastics;\n (c) ESRS E4 Biodiversity and ecosystems, which addresses, in particular, the conservation and sustainable use of and impact on freshwater aquatic ecosystems as well as the oceans and seas; and\n (d) ESRS E5 Resource use and circular economy which addresses in particular waste management including plastic, and the transition towards the extraction of nonrenewable resources of wastewater; reduced use of plastic; and the recycling of wastewater.",,
5,Interaction with other ESRS ,,The undertaking’s impacts on water and marine resources affect people and communities. Material negative impacts on affected communities from water and marine resourcesrelated impacts attributable to the undertaking are covered in ESRS S3 Affected communities.,,
6,Interaction with other ESRS ,,This Standard should be read in conjunction with ESRS 1 General requirements and ESRS 2 General disclosures.,,
7,ESRS 2 General disclosures,,"The requirements of this section should be read in conjunction with and reported alongside the disclosures required by ESRS 2 chapter 4 Impact, risk and opportunity management.",,
8,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",,"The undertaking shall describe the process to identify material impacts, risks and opportunities and shall provide information on:\n (a) whether and how the undertaking it has screened its assets and activities in order to identify its actual and potential water and marine resources-related impacts, risks and opportunities in its own operations and its upstream and downstream value chain, and if so the methodologies, assumptions and tools used in the screening;\n (b) whether and how it has conducted consultations, in particular, with affected communities4 .",,narrative
AR1,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"When conducting a materiality assessment on environmental subtopics, the undertaking shall assess the materiality of water and marine resources in its own operations and its upstream and downstream value chain, and may consider the four phases below, also known as the LEAP approach:\n (a) Phase 1: locate where in its own operations and along the value chain the interface with nature takes place;\n (b) Phase 2: evaluate the dependencies and impacts;\n (c) Phase 3: assess the material risks and opportunities; and\n (d) Phase 4: prepare and report the results of the materiality assessment.",,narrative
AR2,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"The materiality assessment for ESRS E3 corresponds to the first three phases of this LEAP approach, the fourth phase addresses the outcome of the process.",,
