paragraphId,chapterTitle,subChapterTitle,content,,dataType
1,Objective,,"The objective of this Standard is to specify disclosure requirements which will enable users of the sustainability statement to understand material impacts on consumers and endusers connected with the undertaking’s own operations and value chain, including through its products or services, as well as through its business relationships, and its related material risks and opportunities, including:\n (a) how the undertaking affects the consumers and/or end-users of its products and/or services (referred to in this Standard as “consumers and end-users”), in terms of material positive and negative actual or potential impacts;\n (b) any actions taken, and the result of such actions, to prevent, mitigate or remediate actual or potential negative impacts, and to address risks and opportunities;\n (c) the nature, type and extent of the undertaking’s material risks and opportunities related to its impacts and dependencies on consumers and end-users, and how the undertaking manages such risks and opportunities; and\n (d) the financial effects on the undertaking over the short-, medium- and long-term of material risks and opportunities arising from the undertaking’s impacts and dependencies on consumers and/or end-users.",,
2,Objective,,"In order to meet the objective, this Standard requires an explanation of the general approach the undertaking takes to identify and manage any material actual and potential impacts on the consumers and/or end-users related to its products and/or services in relation to:\n (a) information-related impacts on consumers and/or end-users (for example, privacy, freedom of expression and access to (quality) information;\n (b) personal safety of consumers and/or end-users (for example, health and safety, security of a person and protection of children);\n (c) social inclusion of consumers and/or end-users (for example, non-discrimination, access to products and services and responsible marketing practices).",,
3,Objective,,"This Standard also requires an explanation of how such impacts, as well as the undertaking’s dependencies on consumers and/or end-users, can create material risks or opportunities for the undertaking. For example, negative impacts on the reputation of the undertaking’s products and/or services can be detrimental to its business performance, while trust in products and/or services can bring business benefits, such as increased sales or widening of the future consumer base.",,
4,Objective,,The unlawful use or misuse of the undertaking’s products and services by consumers and end-users fall outside the scope of this standard.,,
AR1,Objective,Application Requirements,"The undertaking may highlight special issues relevant to a material impact for a shorter period of time, for instance initiatives regarding the health and safety of consumers and/or end-users in relation to contamination of a product or severe breach of privacy due to a massive data leak.",,
AR2,Objective,Application Requirements,"The overview of social and human rights matters provided in paragraph 2 is not meant to imply that all of these issues should be disclosed in each Disclosure Requirement in this Standard. Rather, it provides a list of matters that the undertaking shall consider in its materiality assessment (ref. to ESRS 1 chapter 3 Double materiality as the basis for sustainability disclosures and ESRS 2 IRO-1) related to consumers and/or end-users and, subsequently, disclose as material impacts, risks and opportunities within the scope of this Standard.",,
5,Interaction with other ESRS,,This standard applies when material impacts on and/or material risks and opportunities related to consumers and/or end-users have been identified through the materiality assessment process laid out in ESRS 2 General disclosures.,,
6,Interaction with other ESRS,,"This Standard shall be read in conjunction with ESRS 1 General requirements, and ESRS 2, as well as ESRS S1 Own workforce, ESRS S2 Workers in the value chain and ESRS S3 Affected communities.",,
7,ESRS 2 General Disclosures,,"The requirements of this section should be read in conjunction with the disclosures required by ESRS 2 on Strategy (SBM). The resulting disclosures shall be presented alongside the disclosures required by ESRS 2, except for SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model, for which the undertaking has an option to present the disclosures alongside the topical disclosure.",,
8,Disclosure Requirement related to ESRS 2 SBM-2 - Interests and views of stakeholders,,"When responding to ESRS 2 SBM-2, paragraph 43, the undertaking shall disclose how the interests, views and rights of its consumers and/or end-users, including respect for their human rights, inform its strategy and business model. Consumers and/or end-users are a key group of affected stakeholders.",,
AR3,Disclosure Requirement related to ESRS 2 SBM-2 - Interests and views of stakeholders,Application Requirements,"ESRS 2 SBM-2 requires the undertaking to provide an understanding of if and how it considers whether its strategy and business model play a role in creating, exacerbating or (conversely) mitigating significant material impacts on consumers and/or end-users, and whether and how the business model and strategy are adapted to address such material impacts.",,
AR4,Disclosure Requirement related to ESRS 2 SBM-2 - Interests and views of stakeholders,Application Requirements,"While consumers and/or end-users may not be engaging with the undertaking at the level of its strategy or business model, their views can inform the undertaking’s assessment of its strategy and business model. The undertaking may disclose the views of the (actual or potential) materially affected consumers and/or end-users’ legitimate representatives or those of credible proxies that have insight into their situation.",,
9,"Disclosure Requirement related to ESRS 2 SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model",,"When responding to ESRS 2 SBM-3 paragraph 48, the undertaking shall disclose:\n (a) whether and how actual and potential impacts on consumers and/or end-users as identified in Disclosure Requirements ESRS 2 IRO-1 Description of the processes to identify and assess material impacts, risks and opportunities: (i) originate from or are connected to the undertaking’s strategy and business model, and (ii) inform and contribute to adapting the undertaking’s strategy and business model, and\n (b) the relationship between its material risks and opportunities arising from impacts and dependencies on consumers and/or end-users and its strategy and business model",,
10,"Disclosure Requirement related to ESRS 2 SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model",,"When fulfilling the requirements of paragraph 48, the undertaking shall disclose whether all consumers and/or end-users who are likely to be materially impacted by the undertaking, including impacts connected with the undertaking’s own operations and value chain, including through its products or services, as well as through its business relationships, are included in the scope of its disclosure under ESRS 2. In addition, the undertaking shall disclose the following information:\n (a) a brief description of the types of consumers and/or end-users subject to material impacts by its own operations or through its value chain, and specify whether they are:\n (ai) consumers and/or end-users of products that are inherently harmful to people and/or increase risks for chronic disease;\n (aii) consumers and/or end-users of services that potentially negatively impact their rights to privacy, to have their personal data protected, to freedom of expression and to non- discrimination;\n (aiii) consumers and/or end-users who are dependent on accurate and accessible product- or service- related information, such as manuals and product labels, to avoid potentially damaging use of a product or service;\n (aiv) consumers and/or end-users who are particularly vulnerable to health or privacy impacts or impacts from marketing and sales strategies, such as children or financially vulnerable individuals;\n (b) in the case of material negative impacts, whether they are either (i) widespread or systemic in contexts where the undertaking sells or provides its products or services (for example, state surveillance that affects the privacy of service users), or (ii) related to individual incidents (for example, a defect linked to a particular product) or to specific business relationships (for example, a business partner uses marketing that inappropriately targets young consumers);\n (c) in the case of material positive impacts, a brief description of the activities that result in the positive impacts (for example, product design that improves its accessibility for persons with disabilities) and the types of consumers and/or end-users that are positively affected or could be positively affected; the undertaking may also disclose whether the positive impacts occur in specific countries or regions; and\n (d) any material risks and opportunities for the business arising from impacts and dependencies on consumers and/or end-users.",,semi-narrative
11,"Disclosure Requirement related to ESRS 2 SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model",,"In describing the main types of consumers and/or end-users who are or could be negatively affected, based on the materiality assessment set out in ESRS 2 IRO-1, the undertaking shall disclose whether and how it has developed an understanding of how consumers and/or endusers with particular characteristics, or those using particular products or services, may be at greater risk of harm.",,narrative
12,"Disclosure Requirement related to ESRS 2 SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model",,"The undertaking shall disclose which, if any, of its material risks and opportunities arising from impacts and dependencies on consumers and/or end-users, relate to specific groups of consumers and/or end-users (for example, particular age groups) rather than to all consumers and/or end-users.",,narrative
AR5,"Disclosure Requirement related to ESRS 2 SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model",Application Requirements,"Impacts on consumers and/or end-users can originate in the undertaking’s business model or strategy in a number of different ways. For example, impacts may relate to the undertaking’s value proposition (for example, providing online platforms with potential for online and offline harm), its value chain (for example, speed in developing products or services, or delivering projects, with risks to health and safety), or its cost structure and the revenue model (for example, sales-maximising incentives that put consumers at risk).",,
AR6,"Disclosure Requirement related to ESRS 2 SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model",Application Requirements,"Impacts on consumers and/or end-users that originate in the strategy or business model can also bring material risks to the undertaking. For example, if the undertaking’s business model is premised on incentivising its sales force to sell high volumes of a product or service (for example, credit cards or pain medicine) at speed, and this results in large- scale harm to consumers, the undertaking may face lawsuits and reputational damage affecting its future business and credibility.",,
AR7,"Disclosure Requirement related to ESRS 2 SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model",Application Requirements,"Examples of particular characteristics of consumers and/or end-users that may be considered by the undertaking when responding to paragraph 11 include young consumers and/or end-users who may be more susceptible to impacts on their physical and mental development, or who lack financial literacy and may be more susceptible to exploitative sales or marketing practices. They may also include women in a context where women are routinely discriminated against in their access to particular services or in the marketing of particular products",,
AR8,"Disclosure Requirement related to ESRS 2 SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model",Application Requirements,"With regard to paragraph 12, the risks could arise because of the undertaking’s dependency on consumers and/or end-users where low likelihood but high impact events may trigger financial effects, for example, where a global pandemic leads to severe impacts on certain consumers’ livelihoods resulting in major changes in patterns of consumption.",,
13,Disclosure Requirement S4-1 - Policies related to consumers and end-users,,"The undertaking shall describe its policies adopted to manage its material impacts of its products and/or services on consumers and end-users, as well as associated material risks and opportunities.",,
14,Disclosure Requirement S4-1 - Policies related to consumers and end-users,,"The objective of this Disclosure Requirement is to enable an understanding of the extent to which the undertaking has policies that address the identification, assessment, management and/or remediation of material impacts on consumers and/or end-users specifically, as well as policies that cover material risks or opportunities related to consumers and/or end-users",,
15,Disclosure Requirement S4-1 - Policies related to consumers and end-users,,"The disclosure required by paragraph 13 shall contain the information on the undertaking’s policies to manage its material impacts, risks and opportunities related to consumers and/or end-users in accordance with ESRS 2 MDR-P Policies adopted to manage material 35 sustainability matters. In addition, the undertaking shall specify if such policies cover specific groups or all consumers and/or end-users.",,MDR-P
16,Disclosure Requirement S4-1 - Policies related to consumers and end-users,,"The undertaking shall describe its human rights policy commitments9 that are relevant to consumers and/or end-users, including those processes and mechanisms to monitor compliance with the UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises. In its disclosure it shall focus on those matters that are material, as well as the general approach in relation to10:\n (a) respect for the human rights of consumers and/or end-users;\n (b) engagement with consumers and/or end-users; and\n (c) measures to provide and/or enable remedy for human rights impacts.",,narrative
17,Disclosure Requirement S4-1 - Policies related to consumers and end-users,,"The undertaking shall disclose whether and how its policies with regard to consumers and/or end-users are aligned with internationally recognised instruments relevant to consumers and/or end-users, including United Nations (UN) Guiding Principles on Business and Human Rights. The undertaking shall also disclose the extent to which cases of non respect of the UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises that involve consumers and/or end-users have been reported in its downstream value chain and, if applicable, an indication of the nature of such cases11 .",,narrative
AR9,Disclosure Requirement S4-1 - Policies related to consumers and end-users,Application Requirements,"The description shall include the key information necessary to ensure a faithful representation of the policies in relation to consumers and end-users, and therefore, the undertaking shall consider explanations of significant changes to the policies adopted during the reporting year (for example, new expectations for business customers, new or additional approaches to due diligence and remedy).",,narrative
AR10,Disclosure Requirement S4-1 - Policies related to consumers and end-users,Application Requirements,"The policy may take the form of a stand-alone policy regarding consumers and/or end users or be included in a broader document such as a code of ethics or a general sustainability policy that has already been disclosed by the undertaking as part of another ESRS. In those cases, the undertaking shall provide an accurate cross-reference to identify the aspects of the policy that satisfy the requirements of this Disclosure Requirement.",,
AR11,Disclosure Requirement S4-1 - Policies related to consumers and end-users,Application Requirements,"In disclosing its alignment of its policies with the UN Guiding Principles on Business and Human Rights, the undertaking shall consider that the Guiding Principles refer to the International Bill of Human Rights, which consists of the Universal Declaration of Human Rights and the two Covenants that implement it, and may disclose its alignment with these instruments.",,
AR12,Disclosure Requirement S4-1 - Policies related to consumers and end-users,Application Requirements,"When disclosing how external facing policies are embedded, the undertaking may, for example, consider internal-facing sales and distribution policies and alignment with other policies relevant to consumers and/or end-users. The undertaking shall also consider its policies for safeguarding the veracity and usefulness of information provided to potential and actual consumers and/or end-users, both before and after sale",,
AR13,Disclosure Requirement S4-1 - Policies related to consumers and end-users,Application Requirements,"The undertaking may provide an illustration of the types of communication of its policies to those individuals, group of individuals or entities for whom they are relevant, either because they are expected to implement them (for example, the undertaking’s employees, contractors and suppliers), or because they have a direct interest in their implementation (for example, own workers, investors). It may disclose communication tools and channels (for example, flyers, newsletters, dedicated websites, social media, face to face interactions, workers’ representatives), aimed at ensuring that the policy is accessible and that different audiences understand its implications. The undertaking may also explain how it identifies and removes potential barriers for dissemination, such as through translation into relevant languages or the use of graphic depictions.",,
18,Disclosure Requirement S4-2 - Processes for engaging with consumers and end-users about impacts,,The undertaking shall disclose its general processes for engaging with consumers and end-users and their representatives about actual and potential impacts on them,,
19,Disclosure Requirement S4-2 - Processes for engaging with consumers and end-users about impacts,,"The objective of this Disclosure Requirement is to enable an understanding of whether and how the undertaking engages, as part of its ongoing due diligence process, with consumers and/or end-users, their legitimate representatives, or with credible proxies, about material actual and potential positive and/or negative impacts that do or are likely to affect them, and whether and how perspectives of consumers and/or end-users are taken into account in the decision-making processes of the undertaking.",,
