paragraphId,chapterTitle,subChapterTitle,content,,dataType
1,Objective,,"The objective of this Standard is to specify disclosure requirements which will enable users of the sustainability statement to understand the undertaking’s material impacts on its own workforce, as well as related material risks and opportunities, including:\n (a) how the undertaking affects its own workforce, in terms of material positive and negative actual or potential impacts;\n (b) any actions taken, and the result of such actions, to prevent, mitigate or remediate actual or potential negative impacts, and to address risks and opportunities;\n (c) the nature, type and extent of the undertaking’s material risks and opportunities related to its impacts and dependencies on its own workforce, and how the undertaking manages them; and\n (d) the financial effects on the undertaking over the short-, medium- and long-term of material risks and opportunities arising from the undertaking’s impacts and dependencies on its own workforce.",,
2,Objective,,"In order to meet the objective, this Standard also requires an explanation of the general approach the undertaking takes to identify and manage any material actual and potential impacts on its own workforce in relation to the following social, including human rights, factors or matters:\n (a) working conditions, including:\n (ai) secure employment;\n (aii) working time;\n (aiii) adequate wages;\n (aiv) social dialogue;\n (av) freedom of association, the existence of works councils and the information, consultation and participation rights of workers;\n (avi) collective bargaining, including the rate of the undertaking’s workforce covered by collective agreements;\n (avii) work-life balance; and\n (aviii) health and safety.\n (b) equal treatment and opportunities for all, including:\n (bi) gender equality and equal pay for work of equal value;\n (bii) training and skills development;\n (biii) employment and inclusion of persons with disabilities\n (biv) measures against violence and harassment in the workplace; and\n (bv) diversity.\n (c) other work-related rights, including those that relate to:\n (ci) child labour;\n (cii) forced labour;\n (ciii) adequate housing; and\n (civ) privacy.",,
3,Objective,,"This Standard also requires an explanation of how such impacts, as well as the undertaking’s dependencies on its own workforce, can create material risks or opportunities for the undertaking. For example, on the matter of equal opportunities, discrimination in hiring and promotion against women can reduce the undertaking’s access to qualified labour and harm its reputation. Conversely, policies to increase the representation of women in the workforce and in upper levels of management can have positive effects, such as increasing the pool of qualified labour and improving the undertaking’s reputation.",,
4,Objective,,"This Standard covers an undertaking’s own workforce, which is understood to include both people who are in an employment relationship with the undertaking (“employees”) and nonemployees who are either people with contracts with the undertaking to supply labour (“self employed people”) or people provided by undertakings primarily engaged in “employment activities” (NACE Code N78). See Application Requirement 3 for examples of who falls under own workforce. The information required to be disclosed with regard to non-employees shall not affect their status pursuant to applicable labour law",,
5,Objective,,This Standard does not cover workers in the undertaking’s upstream or downstream value chain; these categories of workers are covered in ESRS S2 Workers in the value chain.,,
6,Objective,,"The Standard requires undertakings to describe their own workforce, including key characteristics of the employees and non-employees that are part of it. This description provides users with an understanding of the structure of the undertaking’s own workforce and helps to contextualise information provided through other disclosures.",,
7,Objective,,"The objective of the Standard is also to enable users to understand the extent to which the undertaking aligns or complies with international and European human rights instruments and conventions, including the International Bill of Human Rights, the UN Guiding Principles on Business and Human Rights and the OECD Guidelines for Multinational Enterprises, the International Labour Organization’s Declaration on Fundamental Principles and Rights at Work and ILO fundamental conventions, the UN Convention on Persons with Disabilities, the European Convention of Human Rights, the revised European Social Charter, the Charter of Fundamental Rights of the European Union, the EU policy priorities as set out by the European Pillar of Social Rights, and Union legislation, including the EU labour law acquis.",,
AR1,Objective,Application Requirements,"In addition to the issues listed in paragraph 2, the undertaking may also consider disclosing information about other issues relevant to a material impact for a shorter period of time, for instance initiatives regarding the health and safety of its own workforce during a pandemic",,
AR2,Objective,Application Requirements,"The overview of social matters provided in paragraph 2 is not meant to imply that all of these issues should be reported on in each Disclosure Requirement in this Standard. Rather, they provide a list of matters derived from the sustainability reporting requirements set out in Directive 2013/34/EU that the undertaking shall consider for the ESRS 2 materiality assessment related to its own workforce and, as appropriate, report as material impacts, risks and opportunities within the scope of this Standard.",,
AR3,Objective,Application Requirements,"Examples of people that fall within the scope of “Own workforce” are:\n (a) Examples of contractors (self-employed persons) in the undertaking’s own workforce include:\n (ai) Contractors hired by the undertaking to perform work that would otherwise be carried out by an employee\n (aii) Contractors hired by the undertaking to perform work in a public area (e.g., on a road, on the street).\n (aiii) Contractors hired by the undertaking to deliver the work/service directly at the workplace of a client of the undertaking.\n (b) Examples of people employed by a third party engaged in ‘employment activities’ include people who perform the same work that employees carry out, such as:\n (bi) people who fill in for employees who are temporarily absent (due to illness, holiday, parental leave, etc.);\n (bii) people performing work additional to regular employees; iii. people who are dispatched temporarily from another EU member state to work for the undertaking (‘posted workers’).",,
